"filename", "language", "JavaScript", "Less", "HTML", "JSON", "Markdown", "TypeScript", "Handlebars", "Properties", "Log", "SQL", "Pug", "comment", "blank", "total"
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/EJS/desafioClase10_EJS.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/EJS/router1.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 38
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/EJS/views/inputForm.ejs", "HTML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/EJS/views/productView.ejs", "HTML", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/Handlebars/desafioClase10_HBS.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/Handlebars/router1.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 40
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/Handlebars/views/inputForm.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/Handlebars/views/layouts/main.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/Handlebars/views/productView.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/PUG/desafioClase10_PUG.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/PUG/router1.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 38
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/PUG/views/inputForm.pug", "Pug", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/PUG/views/main.pug", "Pug", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 10/PUG/views/productView.pug", "Pug", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 12/desafioClase12.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31, 111
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 12/public/client.socket.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 80
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 12/public/views/inputForm.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 23
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 12/public/views/layouts/main.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 12/public/views/productView.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 12/router1.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 31
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 14/main.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 14/persistence.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26, 157
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 14/router.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 102
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/database/msgDB.sqlite", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/desafioClase16.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 89
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/knexTableCreator.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 52
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/persistance.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 34
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/public/client.socket.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 84
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/public/views/inputForm.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 23
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/public/views/layouts/main.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/public/views/productView.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 16/router1.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 18/desafioClase18.md", "Markdown", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 30, 111
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 2/desafioClase2.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 55
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 20/DAOs/DAOs.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 20/Firestore/firestoreConfig.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 20/Firestore/firestoreContainer.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 104
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 20/MongoDB/mongoConfig.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 20/MongoDB/mongoContainer.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 90
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/config/firestoreConfig.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/desafioClase22.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 79
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/persistance.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 53
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/public/client.socket.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22, 87
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/public/views/fakeProds.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/public/views/inputForm.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 21
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/public/views/layouts/main.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 22/routes/router1.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/config/firestoreConfig.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/desafioClase24.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 103
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/persistance.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 35
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/client.socket.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 75
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/views/fakeProds.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/views/inputForm.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/views/layouts/main.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/views/login.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/public/views/logout.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 24/routes/router1.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/config/firestoreConfig.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/desafioClase26.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 125
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/lib/pasport.lib.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/models/user.model.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/persistance.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 35
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/client.socket.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 75
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/fakeProds.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/inputForm.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/layouts/main.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/login.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/loginError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/logout.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/register.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/public/views/registerError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 26/routes/router1.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 71
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/child.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/config/firestoreConfig.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/desafioClase28.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 145
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/lib/pasport.lib.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/models/user.model.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/persistance.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 35
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/client.socket.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 75
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/fakeProds.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/info.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/inputForm.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/layouts/main.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/login.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/loginError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/logout.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/register.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/public/views/registerError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/routes/router1.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 82
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 28/routes/routerChild.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/config/firestoreConfig.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/desafioClase30.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 173
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/lib/pasport.lib.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/models/user.model.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 2, 15, 56
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/persistance.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 35
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/client.socket.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 75
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/fakeProds.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/info.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/inputForm.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/layouts/main.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/login.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/loginError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/logout.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/register.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/public/views/registerError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/routes/router1.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 84
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/routes/routerChild.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 30/serverAPIRandom.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 67
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/7651.0x/flamegraph.html", "HTML", 0, 0, 11993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1943, 13936
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/7651.0x/isolate-0x130040000-7651-7651-v8.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 47669, 0, 0, 0, 1, 47670
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/7651.0x/isolate-0x130040000-7651-7651-v8.log.json", "JSON", 0, 0, 0, 660289, 0, 0, 0, 0, 0, 0, 0, 0, 1, 660290
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/7651.0x/meta.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/benchmark.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/config/firestoreConfig.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/desafioClase32.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 173
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/error.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/lib/log4js.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/lib/pasport.lib.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/models/user.model.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/persistance.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 35
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/client.socket.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 75
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/fakeProds.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/info.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/inputForm.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/layouts/main.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/login.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/loginError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/logout.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/register.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/public/views/registerError.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/turco/WebDev/coderhouse-backend-course/Desafio Clase 32/routes/router1.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 108
